OpenGWAS.Trait	Tool.Mapping..1	Identifier	Score	Tool.Mapping..2	Identifier.1	Score.1	Tool.Mapping..3	Identifier.2	Score.2	mapper1	mapper2
HRAS-like suppressor 3	myelosuppression	http://www.ebi.ac.uk/efo/EFO_0007053	0.373579068	adrenal suppression measurement	http://www.ebi.ac.uk/efo/EFO_0007053	0.373579068	immunodeficiency-related disorder	http://www.ebi.ac.uk/efo/EFO_0007053	0.373579068	Samuel Neaves	Rebecca Carnegie
HVEM on Terminally Differentiated CD8+ T cell	differentiated	http://www.ebi.ac.uk/efo/EFO_0002954	0.582689165	tumor grade 1, general grading system	http://www.ebi.ac.uk/efo/EFO_0002954	0.582689165	minimally differentiated acute myeloblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0002954	0.582689165	Samuel Neaves	Rebecca Carnegie
Hypertrophy of breast	Breast hypertrophy	http://purl.obolibrary.org/obo/HP_0010313	0.965817277	hypertrophy	http://purl.obolibrary.org/obo/HP_0010313	0.965817277	hyperostosis	http://purl.obolibrary.org/obo/HP_0010313	0.965817277	Zak Thornton	Marina Vabistsevits
Hypoxanthine	hypoxanthine mesurement	http://www.ebi.ac.uk/efo/EFO_0010500	0.769727916	hypoxia	http://www.ebi.ac.uk/efo/EFO_0010500	0.769727916	Hypoxanthine guanine phosphoribosyltransferase partial deficiency	http://www.ebi.ac.uk/efo/EFO_0010500	0.769727916	Samuel Neaves	Rebecca Carnegie
IgD- CD24- B cell %B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.568074679	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0000095	0.568074679	cell type	http://www.ebi.ac.uk/efo/EFO_0000095	0.568074679	Zak Thornton	Marina Vabistsevits
IgD- CD27- B cell %B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.566520555	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0000095	0.566520555	cell type	http://www.ebi.ac.uk/efo/EFO_0000095	0.566520555	Samuel Neaves	Rebecca Carnegie
IgD- CD38dim B cell %lymphocyte	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.495597129	precursor B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.495597129	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0000095	0.495597129	Ryan Langdon	Maria Sobczyk-Barad
IgE	serum IgE measurement	http://www.ebi.ac.uk/efo/EFO_0004579	0.608145968	Increased circulating IgE level	http://www.ebi.ac.uk/efo/EFO_0004579	0.608145968	IgE responsiveness, atopic	http://www.ebi.ac.uk/efo/EFO_0004579	0.608145968	Ryan Langdon	Maria Sobczyk-Barad
IL-16	Dystonia 16	http://www.orpha.net/ORDO/Orphanet_210571	0.478349579	Ring chromosome 16	http://www.orpha.net/ORDO/Orphanet_210571	0.478349579	long QT syndrome 16	http://www.orpha.net/ORDO/Orphanet_210571	0.478349579	Zak Thornton	Marina Vabistsevits
Illnesses of mother: Severe depression	depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.586060926	unipolar depression	http://purl.obolibrary.org/obo/MONDO_0002050	0.586060926	bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.586060926	Ryan Langdon	Maria Sobczyk-Barad
Illnesses of siblings: Bowel cancer	intestinal cancer	http://www.ebi.ac.uk/efo/EFO_0007330	0.623094944	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_0007330	0.623094944	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0007330	0.623094944	Zak Thornton	Marina Vabistsevits
Illnesses of siblings: Heart disease	heart disease	http://www.ebi.ac.uk/efo/EFO_0003777	0.599161567	number of siblings	http://www.ebi.ac.uk/efo/EFO_0003777	0.599161567	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0003777	0.599161567	Ryan Langdon	Maria Sobczyk-Barad
Indian snacks intake	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.343228743	systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0003939	0.343228743	panic disorder	http://www.ebi.ac.uk/efo/EFO_0003939	0.343228743	Zak Thornton	Marina Vabistsevits
Inflammatory bowel disease	inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	0.994928039	Autosomal recessive early-onset inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	0.994928039	inflammatory disease	http://www.ebi.ac.uk/efo/EFO_0003767	0.994928039	Samuel Neaves	Rebecca Carnegie
Injury of nerves at lower leg level	leg injury	http://www.ebi.ac.uk/efo/EFO_0009508	0.618144204	nervous system injury	http://www.ebi.ac.uk/efo/EFO_0009508	0.618144204	injury	http://www.ebi.ac.uk/efo/EFO_0009508	0.618144204	Ryan Langdon	Maria Sobczyk-Barad
Integrin aVb5	Qualitative or quantitative defects of integrin alpha-7	http://www.orpha.net/ORDO/Orphanet_207098	0.497518442	atrioventricular block (disease)	http://www.orpha.net/ORDO/Orphanet_207098	0.497518442	Leukocyte adhesion deficiency type III	http://www.orpha.net/ORDO/Orphanet_207098	0.497518442	Samuel Neaves	Rebecca Carnegie
Intercellular adhesion molecule 4	intercellular adhesion molecule 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008163	0.871740359	intercellular adhesion molecule 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008163	0.871740359	ICAM-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008163	0.871740359	Benjamin Woolf	Giulio Centorame
Interferon gamma	interferon gamma	http://www.ebi.ac.uk/efo/EFO_0003024	0.995420448	interferon gamma measurement	http://www.ebi.ac.uk/efo/EFO_0003024	0.995420448	interferon beta	http://www.ebi.ac.uk/efo/EFO_0003024	0.995420448	Zak Thornton	Marina Vabistsevits
Interferon gamma receptor 1	interferon gamma	http://www.ebi.ac.uk/efo/EFO_0003024	0.827904478	interferon gamma measurement	http://www.ebi.ac.uk/efo/EFO_0003024	0.827904478	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency	http://www.ebi.ac.uk/efo/EFO_0003024	0.827904478	Benjamin Woolf	Giulio Centorame
Interleukin-12 subunit B levels	interleukin-12 subunit B measurement	http://www.ebi.ac.uk/efo/EFO_0010787	0.684264336	interleukin 12 receptor subunit beta-1 measurement	http://www.ebi.ac.uk/efo/EFO_0010787	0.684264336	interleukin	http://www.ebi.ac.uk/efo/EFO_0010787	0.684264336	Ryan Langdon	Maria Sobczyk-Barad
Interleukin-37	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.821799745	interleukin 2 measurement	http://www.ebi.ac.uk/efo/EFO_0004100	0.821799745	interleukin 4 measurement	http://www.ebi.ac.uk/efo/EFO_0004100	0.821799745	Benjamin Woolf	Giulio Centorame
Intestinal stricture	stricture	http://www.ebi.ac.uk/efo/EFO_0006818	0.755706099	Urethral stricture	http://www.ebi.ac.uk/efo/EFO_0006818	0.755706099	intestinal disease	http://www.ebi.ac.uk/efo/EFO_0006818	0.755706099	Ryan Langdon	Maria Sobczyk-Barad
Ischemic Heart Disease	Myocardial Ischemia	http://www.ebi.ac.uk/efo/EFO_1001375	0.992028973	ischemic disease	http://www.ebi.ac.uk/efo/EFO_1001375	0.992028973	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_1001375	0.992028973	Ryan Langdon	Maria Sobczyk-Barad
JAG2	rag2 deficiency	http://www.ebi.ac.uk/efo/EFO_0009651	0.498207456	lethal congenital glycogen storage disease of heart	http://www.ebi.ac.uk/efo/EFO_0009651	0.498207456	hypertrophic cardiomyopathy 6	http://www.ebi.ac.uk/efo/EFO_0009651	0.498207456	Zak Thornton	Marina Vabistsevits
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	Nager syndrome	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	Zak Thornton	Marina Vabistsevits
Job coding: research or laboratory manager	Abnormality of metabolism/homeostasis	http://purl.obolibrary.org/obo/HP_0001939	0.412879962	clinical laboratory measurement	http://purl.obolibrary.org/obo/HP_0001939	0.412879962	multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome	http://purl.obolibrary.org/obo/HP_0001939	0.412879962	Zak Thornton	Marina Vabistsevits
Job SOC coding: IT operations technicians	technician	http://www.ebi.ac.uk/efo/EFO_0009739	0.582255482	technical replicate	http://www.ebi.ac.uk/efo/EFO_0009739	0.582255482	clinical laboratory measurement	http://www.ebi.ac.uk/efo/EFO_0009739	0.582255482	everyone	NA
Job SOC coding: Other goods handling and storage occupations n.e.c.	occupational dermatitis	http://www.ebi.ac.uk/efo/EFO_1000744	0.359731774	occupation-related stress disorder	http://www.ebi.ac.uk/efo/EFO_1000744	0.359731774	occupational allergic alveolitis	http://www.ebi.ac.uk/efo/EFO_1000744	0.359731774	Benjamin Woolf	Giulio Centorame
Job SOC coding: Retail and wholesale managers	genome	http://www.ebi.ac.uk/efo/EFO_0004420	0.301070903	Autosomal dominant hyper-IgE syndrome	http://www.ebi.ac.uk/efo/EFO_0004420	0.301070903	exome	http://www.ebi.ac.uk/efo/EFO_0004420	0.301070903	Zak Thornton	Marina Vabistsevits
Job SOC coding: Teaching professionals n.e.c.	Epiphora	http://purl.obolibrary.org/obo/HP_0009926	0.292583597	Retrognathia	http://purl.obolibrary.org/obo/HP_0009926	0.292583597	Autosomal dominant hyper-IgE syndrome	http://purl.obolibrary.org/obo/HP_0009926	0.292583597	Ryan Langdon	Maria Sobczyk-Barad
kallikrein 12	plasma kallikrein measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	kallikrein-12 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	kallikrein-7 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	Samuel Neaves	Rebecca Carnegie
Kallikrein-12	plasma kallikrein measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	kallikrein-12 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	kallikrein-7 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.729230452	Benjamin Woolf	Giulio Centorame
Kallikrein-5	plasma kallikrein measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.757557405	kallikrein-7 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.757557405	kallikrein-11 measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.757557405	Samuel Neaves	Rebecca Carnegie
Kinesin-like protein KIF16B	Karyomegalic interstitial nephritis	http://www.orpha.net/ORDO/Orphanet_401996	0.422603302	Proteinuria	http://www.orpha.net/ORDO/Orphanet_401996	0.422603302	416B	http://www.orpha.net/ORDO/Orphanet_401996	0.422603302	everyone	NA
Kinesin-like protein KIF1C	Karyomegalic interstitial nephritis	http://www.orpha.net/ORDO/Orphanet_401996	0.455259438	Proteinuria	http://www.orpha.net/ORDO/Orphanet_401996	0.455259438	MAP kinase-activated protein kinase 2 measurement	http://www.orpha.net/ORDO/Orphanet_401996	0.455259438	Ryan Langdon	Maria Sobczyk-Barad
KREM2	EM2	http://www.ebi.ac.uk/efo/EFO_0002176	0.64011776	soluble triggering receptor expressed on myeloid cells 2 measurement	http://www.ebi.ac.uk/efo/EFO_0002176	0.64011776	krebs 2 carcinoma	http://www.ebi.ac.uk/efo/EFO_0002176	0.64011776	Samuel Neaves	Rebecca Carnegie
Kremen protein 1	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	0.542400867	protein C measurement	http://www.ebi.ac.uk/efo/EFO_0004747	0.542400867	protein S measurement	http://www.ebi.ac.uk/efo/EFO_0004747	0.542400867	Ryan Langdon	Maria Sobczyk-Barad
Ku70	kuru	http://www.ebi.ac.uk/efo/EFO_1001008	0.233514325	Adult neuronal ceroid lipofuscinosis	http://www.ebi.ac.uk/efo/EFO_1001008	0.233514325	KURAMOCHI	http://www.ebi.ac.uk/efo/EFO_1001008	0.233514325	Benjamin Woolf	Giulio Centorame
Kynureninase	Encephalopathy due to hydroxykynureninuria	http://www.orpha.net/ORDO/Orphanet_79155	0.860661818	kynureninase measurement	http://www.orpha.net/ORDO/Orphanet_79155	0.860661818	kynurenine measurement	http://www.orpha.net/ORDO/Orphanet_79155	0.860661818	Samuel Neaves	Rebecca Carnegie
Lack of expected normal physiological development	Absent speech	http://purl.obolibrary.org/obo/HP_0001344	0.479754077	Global developmental delay	http://purl.obolibrary.org/obo/HP_0001344	0.479754077	calcification	http://purl.obolibrary.org/obo/HP_0001344	0.479754077	Benjamin Woolf	Giulio Centorame
Lactate dehydrogenase	Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284426	0.846450349	Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284426	0.846450349	elevated lactate dehydrogenase	http://www.orpha.net/ORDO/Orphanet_284426	0.846450349	Zak Thornton	Marina Vabistsevits
Leucine-rich repeat serine/threonine-protein kinase 2	serine/threonine-protein kinase 17B measurement	http://www.ebi.ac.uk/efo/EFO_0008281	0.44780054	threonine measurement	http://www.ebi.ac.uk/efo/EFO_0008281	0.44780054	Proteinuria	http://www.ebi.ac.uk/efo/EFO_0008281	0.44780054	everyone	NA
Levulinate (4-oxovalerate)	Acute hepatic porphyria	http://www.orpha.net/ORDO/Orphanet_95157	0.440912523	Elevated urinary delta-aminolevulinic acid	http://www.orpha.net/ORDO/Orphanet_95157	0.440912523	Porphyria due to ALA dehydratase deficiency	http://www.orpha.net/ORDO/Orphanet_95157	0.440912523	Samuel Neaves	Rebecca Carnegie
Lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	http://purl.obolibrary.org/obo/MONDO_0007899	0.995575489	Vulvar Lichen Sclerosus	http://purl.obolibrary.org/obo/MONDO_0007899	0.995575489	lichen disease	http://purl.obolibrary.org/obo/MONDO_0007899	0.995575489	Samuel Neaves	Rebecca Carnegie
Linoleic acid	linoleic acid measurement	http://www.ebi.ac.uk/efo/EFO_0006807	0.804674678	alpha-linoleic acid measurement	http://www.ebi.ac.uk/efo/EFO_0006807	0.804674678	gamma-linoleic acid measurement	http://www.ebi.ac.uk/efo/EFO_0006807	0.804674678	Samuel Neaves	Rebecca Carnegie
Livin B	vulvar intraepithelial neoplasia	http://www.ebi.ac.uk/efo/EFO_0002627	0.478208941	Low Grade Vulvar Intraepithelial Neoplasia	http://www.ebi.ac.uk/efo/EFO_0002627	0.478208941	activities of daily living score measurement	http://www.ebi.ac.uk/efo/EFO_0002627	0.478208941	Ryan Langdon	Maria Sobczyk-Barad
logMAR, final (right)	Long fingers	http://purl.obolibrary.org/obo/HP_0100807	0.283137978	sign or symptom	http://purl.obolibrary.org/obo/HP_0100807	0.283137978	morphologic finding	http://purl.obolibrary.org/obo/HP_0100807	0.283137978	Samuel Neaves	Rebecca Carnegie
Lymphangioma, anys site	lymphangioma	http://purl.obolibrary.org/obo/MONDO_0002013	0.734102358	lymphangiomyoma	http://purl.obolibrary.org/obo/MONDO_0002013	0.734102358	cystic lymphangioma	http://purl.obolibrary.org/obo/MONDO_0002013	0.734102358	Ryan Langdon	Maria Sobczyk-Barad
lymphocyte cell count	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	0.903785646	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0004587	0.903785646	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0004587	0.903785646	Samuel Neaves	Rebecca Carnegie
Lysozyme g-like protein 1	lysozyme C measurement	http://www.ebi.ac.uk/efo/EFO_0008216	0.626181549	Familial renal amyloidosis due to lysozyme variant	http://www.ebi.ac.uk/efo/EFO_0008216	0.626181549	lysosomal protective protein measurement	http://www.ebi.ac.uk/efo/EFO_0008216	0.626181549	Samuel Neaves	Rebecca Carnegie
Main speciality of consultant (recoded): Clinical haematology	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.444973691	hematologic disease	http://www.ebi.ac.uk/efo/EFO_0001732	0.444973691	Abnormality of blood and blood-forming tissues	http://www.ebi.ac.uk/efo/EFO_0001732	0.444973691	everyone	NA
Main speciality of consultant (recoded): Oral surgery	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.522267738	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0001732	0.522267738	response to surgery	http://www.ebi.ac.uk/efo/EFO_0001732	0.522267738	Benjamin Woolf	Giulio Centorame
Malaria	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	0.993552391	cerebral malaria	http://www.ebi.ac.uk/efo/EFO_0001068	0.993552391	severe malarial anemia	http://www.ebi.ac.uk/efo/EFO_0001068	0.993552391	Ryan Langdon	Maria Sobczyk-Barad
MCP-2	Autosomal recessive primary microcephaly	http://www.orpha.net/ORDO/Orphanet_2512	0.528062831	monocyte chemotactic protein-2 measurement	http://www.orpha.net/ORDO/Orphanet_2512	0.528062831	monocyte chemotactic protein-4 measurement	http://www.orpha.net/ORDO/Orphanet_2512	0.528062831	Benjamin Woolf	Giulio Centorame
Medication for cholesterol, blood pressure or diabetes: None of the above	blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	0.522377799	hypotension	http://www.ebi.ac.uk/efo/EFO_0004325	0.522377799	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	0.522377799	Samuel Neaves	Rebecca Carnegie
Menstruation quality of life impact (bowel movement)	quality of life during menstruation measurement	http://www.ebi.ac.uk/efo/EFO_0009366	0.734817908	health-related quality of life measurement	http://www.ebi.ac.uk/efo/EFO_0009366	0.734817908	Menstrual disorder	http://www.ebi.ac.uk/efo/EFO_0009366	0.734817908	Zak Thornton	Marina Vabistsevits
MEPE	myopathy, epilepsy, and progressive cerebral atrophy	http://purl.obolibrary.org/obo/MONDO_0033619	0.443722159	MMEP syndrome	http://purl.obolibrary.org/obo/MONDO_0033619	0.443722159	timepoint	http://purl.obolibrary.org/obo/MONDO_0033619	0.443722159	Zak Thornton	Marina Vabistsevits
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer within provider	eye discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.503971394	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.503971394	discharging ear	http://www.ebi.ac.uk/efo/EFO_0010678	0.503971394	Benjamin Woolf	Giulio Centorame
Microalbumin in urine	Moderate albuminuria	http://purl.obolibrary.org/obo/HP_0012594	0.821819499	urinary microalbumin measurement	http://purl.obolibrary.org/obo/HP_0012594	0.821819499	Hypoalbuminemia	http://purl.obolibrary.org/obo/HP_0012594	0.821819499	Ryan Langdon	Maria Sobczyk-Barad
MMP-12	mucous membrane pemphigoid	http://www.ebi.ac.uk/efo/EFO_1000680	0.849847931	matrix metalloproteinase 12 measurement	http://www.ebi.ac.uk/efo/EFO_1000680	0.849847931	Malignant migrating partial seizures of infancy	http://www.ebi.ac.uk/efo/EFO_1000680	0.849847931	Samuel Neaves	Rebecca Carnegie
Mn SOD	Septo-optic dysplasia	http://www.orpha.net/ORDO/Orphanet_3157	0.581375282	Isolated sulfite oxidase deficiency	http://www.orpha.net/ORDO/Orphanet_3157	0.581375282	mild neurocognitive disorder	http://www.orpha.net/ORDO/Orphanet_3157	0.581375282	Zak Thornton	Marina Vabistsevits
Mouth/teeth dental problems	tooth disease	http://www.ebi.ac.uk/efo/EFO_1001216	0.448134932	mouth disease	http://www.ebi.ac.uk/efo/EFO_1001216	0.448134932	mouth neoplasm	http://www.ebi.ac.uk/efo/EFO_1001216	0.448134932	Ryan Langdon	Maria Sobczyk-Barad
Multi-site chronic pain	multisite chronic pain	http://www.ebi.ac.uk/efo/EFO_0010100	0.853250705	Chronic pain	http://www.ebi.ac.uk/efo/EFO_0010100	0.853250705	chronic pain syndrome	http://www.ebi.ac.uk/efo/EFO_0010100	0.853250705	Ryan Langdon	Maria Sobczyk-Barad
Myasthenia gravis	Myasthenia gravis	http://www.ebi.ac.uk/efo/EFO_0004991	0.99397086	neonatal myasthenia gravis	http://www.ebi.ac.uk/efo/EFO_0004991	0.99397086	late-onset myasthenia gravis	http://www.ebi.ac.uk/efo/EFO_0004991	0.99397086	Zak Thornton	Marina Vabistsevits
Myeloproliferative diseases	chronic myeloproliferative disorder	http://www.ebi.ac.uk/efo/EFO_0002428	0.857725357	myeloproliferative disorder	http://www.ebi.ac.uk/efo/EFO_0002428	0.857725357	Myelodysplastic/Myeloproliferative Neoplasm	http://www.ebi.ac.uk/efo/EFO_0002428	0.857725357	Benjamin Woolf	Giulio Centorame
N-acetylglucosamine-1-phosphotransferase subunit gamma	Mucolipidosis type II	http://www.orpha.net/ORDO/Orphanet_576	0.676896624	DPAGT1-CDG	http://www.orpha.net/ORDO/Orphanet_576	0.676896624	MGAT2-CDG	http://www.orpha.net/ORDO/Orphanet_576	0.676896624	Zak Thornton	Marina Vabistsevits
N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform C	MGAT2-CDG	http://www.orpha.net/ORDO/Orphanet_79329	0.596658761	Mucolipidosis type II	http://www.orpha.net/ORDO/Orphanet_79329	0.596658761	Sanfilippo syndrome type C	http://www.orpha.net/ORDO/Orphanet_79329	0.596658761	Benjamin Woolf	Giulio Centorame
NAD kinase	Infantile neuroaxonal dystrophy	http://www.orpha.net/ORDO/Orphanet_35069	0.617028114	gonadal disease	http://www.orpha.net/ORDO/Orphanet_35069	0.617028114	MAP kinase-activated protein kinase 2 measurement	http://www.orpha.net/ORDO/Orphanet_35069	0.617028114	Benjamin Woolf	Giulio Centorame
NCAM-120	G120	http://www.ebi.ac.uk/efo/EFO_0006398	0.324056898	cellular adhesion molecule measurement	http://www.ebi.ac.uk/efo/EFO_0006398	0.324056898	CB120	http://www.ebi.ac.uk/efo/EFO_0006398	0.324056898	Zak Thornton	Marina Vabistsevits
Neuregulin-4	heregulin B1	http://www.ebi.ac.uk/efo/EFO_0003308	0.549543653	neuroma	http://www.ebi.ac.uk/efo/EFO_0003308	0.549543653	Irregular dentition	http://www.ebi.ac.uk/efo/EFO_0003308	0.549543653	Ryan Langdon	Maria Sobczyk-Barad
Neurensin-1	neuroma	http://www.ebi.ac.uk/efo/EFO_0009619	0.422021358	Neurenteric cyst	http://www.ebi.ac.uk/efo/EFO_0009619	0.422021358	neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0009619	0.422021358	Samuel Neaves	Rebecca Carnegie
Neurexin-2-beta	Anorexia	http://purl.obolibrary.org/obo/HP_0002039	0.381950967	insulinoma	http://purl.obolibrary.org/obo/HP_0002039	0.381950967	Fever	http://purl.obolibrary.org/obo/HP_0002039	0.381950967	Samuel Neaves	Rebecca Carnegie
Neuronal pentraxin-2	neuronal tumor	http://purl.obolibrary.org/obo/MONDO_0016726	0.496988319	mixed neuronal-glial tumor	http://purl.obolibrary.org/obo/MONDO_0016726	0.496988319	neuroma	http://purl.obolibrary.org/obo/MONDO_0016726	0.496988319	Ryan Langdon	Maria Sobczyk-Barad
Non-cancer illness code  self-reported: diabetes	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.552559097	self rated health	http://www.ebi.ac.uk/efo/EFO_0009801	0.552559097	diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0009801	0.552559097	Benjamin Woolf	Giulio Centorame
Non-cancer illness code, self-reported: back problem	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.518116807	self rated health	http://www.ebi.ac.uk/efo/EFO_0009801	0.518116807	number of cancers, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.518116807	Zak Thornton	Marina Vabistsevits
Non-cancer illness code, self-reported: pneumonia	pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	0.563406327	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0003106	0.563406327	pneumocystosis	http://www.ebi.ac.uk/efo/EFO_0003106	0.563406327	Zak Thornton	Marina Vabistsevits
Non-cancer illness code, self-reported: rheumatic fever	rheumatic fever	http://www.ebi.ac.uk/efo/EFO_1001160	0.623896247	rheumatic fever nodule	http://www.ebi.ac.uk/efo/EFO_1001160	0.623896247	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_1001160	0.623896247	Samuel Neaves	Rebecca Carnegie
Non-cancer illness code, self-reported: uterine fibroids	uterine fibroid	http://www.ebi.ac.uk/efo/EFO_0000731	0.601310117	Uterine leiomyoma	http://www.ebi.ac.uk/efo/EFO_0000731	0.601310117	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0000731	0.601310117	Ryan Langdon	Maria Sobczyk-Barad
Non-histone chromosomal protein HMG-14	Chromosomal anomaly	http://www.orpha.net/ORDO/Orphanet_68335	0.482417592	Ring chromosome 14	http://www.orpha.net/ORDO/Orphanet_68335	0.482417592	Autosomal anomaly	http://www.orpha.net/ORDO/Orphanet_68335	0.482417592	Benjamin Woolf	Giulio Centorame
Nonadecanoate (19:0)	sinoatrial node disease	http://purl.obolibrary.org/obo/MONDO_0000469	0.287259827	dental caries	http://purl.obolibrary.org/obo/MONDO_0000469	0.287259827	melanoacanthoma	http://purl.obolibrary.org/obo/MONDO_0000469	0.287259827	Ryan Langdon	Maria Sobczyk-Barad
Nonorganic sleeping disorders	Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	0.621851817	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0008568	0.621851817	ORGANIC	http://www.ebi.ac.uk/efo/EFO_0008568	0.621851817	Zak Thornton	Marina Vabistsevits
Number of cigarettes previously smoked daily	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.544038225	cigarettes per day measurement	http://www.ebi.ac.uk/efo/EFO_0003768	0.544038225	maximum cigarettes per day measurement	http://www.ebi.ac.uk/efo/EFO_0003768	0.544038225	Ryan Langdon	Maria Sobczyk-Barad
Number of times snap-button pressed	Number of molecules	http://www.ebi.ac.uk/efo/EFO_0004368	0.323396952	number of pregnancies measurement	http://www.ebi.ac.uk/efo/EFO_0004368	0.323396952	Missing ribs	http://www.ebi.ac.uk/efo/EFO_0004368	0.323396952	Ryan Langdon	Maria Sobczyk-Barad
Oily fish intake	fish consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010139	0.652059436	fish disease	http://www.ebi.ac.uk/efo/EFO_0010139	0.652059436	ichthyosis (disease)	http://www.ebi.ac.uk/efo/EFO_0010139	0.652059436	Zak Thornton	Marina Vabistsevits
Oleate (18:1n9)	maleate measurement	http://www.ebi.ac.uk/efo/EFO_0010509	0.412685341	Oley syndrome	http://www.ebi.ac.uk/efo/EFO_0010509	0.412685341	oleic acid measurement	http://www.ebi.ac.uk/efo/EFO_0010509	0.412685341	Samuel Neaves	Rebecca Carnegie
Olfactomedin-4	Olfactory Neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000407	0.568871731	olfactory nerve neoplasm	http://www.ebi.ac.uk/efo/EFO_1000407	0.568871731	olfactory nerve disease	http://www.ebi.ac.uk/efo/EFO_1000407	0.568871731	Ryan Langdon	Maria Sobczyk-Barad
Open wound of ankle and foot	osteomyelitis	http://www.ebi.ac.uk/efo/EFO_0003102	0.582437732	joint disease	http://www.ebi.ac.uk/efo/EFO_0003102	0.582437732	Hemarthrosis	http://www.ebi.ac.uk/efo/EFO_0003102	0.582437732	Benjamin Woolf	Giulio Centorame
