OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	mapper1	mapper2	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Job SOC coding: Accounts and wages clerks, book-keepers, other financial clerks	Myoclonus	http://purl.obolibrary.org/obo/HP_0001336	0.302153447	Böök syndrome	http://www.orpha.net/ORDO/Orphanet_1262	0.269171423	CACH syndrome	http://www.orpha.net/ORDO/Orphanet_135	0.255933792	Ryan Langdon	Maria Sobczyk-Barad							
Job SOC coding: Managers in construction	DNA library construction	http://www.ebi.ac.uk/efo/EFO_0010172	0.397893893	single cell library construction	http://www.ebi.ac.uk/efo/EFO_0010183	0.382652617	cDNA library construction	http://www.ebi.ac.uk/efo/EFO_0004187	0.372005223	Zak Thornton	Marina Vabistsevits							
Job SOC coding: Registrars and senior administrators of educational establishments	administrator	http://www.ebi.ac.uk/efo/EFO_0009743	0.448568551	Abnormal blistering of the skin	http://purl.obolibrary.org/obo/HP_0008066	0.260766994	educational attainment	http://www.ebi.ac.uk/efo/EFO_0011015	0.252621292	Ryan Langdon	Maria Sobczyk-Barad							
Job SOC coding: Research and development managers	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399	0.489729557	congenital heart malformation	http://www.ebi.ac.uk/efo/EFO_0005269	0.478534556	bone development disease	http://www.ebi.ac.uk/efo/EFO_0005541	0.453615605	Zak Thornton	Marina Vabistsevits							
Job SOC coding: Social workers	social desirability	http://www.ebi.ac.uk/efo/EFO_0004366	0.577760272	social anxiety disorder	http://www.ebi.ac.uk/efo/EFO_1001917	0.411669944	anthracosis	http://www.ebi.ac.uk/efo/EFO_1000814	0.384740173	Zak Thornton	Marina Vabistsevits							
Job SOC coding: Typists	Autosomal dominant hyper-IgE syndrome	http://www.orpha.net/ORDO/Orphanet_2314	0.351449432	telomere syndrome	http://purl.obolibrary.org/obo/MONDO_0100137	0.342098138	Blast Count	http://www.ebi.ac.uk/efo/EFO_0009232	0.272184906	Samuel Neaves	Rebecca Carnegie							
Junctional adhesion molecule-like	adhesion factor	http://www.ebi.ac.uk/efo/EFO_0004521	0.744389515	adhesion molecule measurement	http://www.ebi.ac.uk/efo/EFO_0004522	0.640857982	basal cell adhesion molecule measurement	http://www.ebi.ac.uk/efo/EFO_0008032	0.568994486	Zak Thornton	Marina Vabistsevits							
kallikrein 14	plasma kallikrein measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.727299226	kallikrein-7 measurement	http://www.ebi.ac.uk/efo/EFO_0008195	0.666086309	kallikrein-11 measurement	http://www.ebi.ac.uk/efo/EFO_0010573	0.662518882	Benjamin Woolf	Giulio Centorame							
Karyopherin-a2	karyotype	http://www.ebi.ac.uk/efo/EFO_0004426	0.483844275	Karyomegalic interstitial nephritis	http://www.orpha.net/ORDO/Orphanet_401996	0.368312674	47,XYY syndrome	http://www.orpha.net/ORDO/Orphanet_8	0.357273372	Ryan Langdon	Maria Sobczyk-Barad							
Keratitis	keratitis	http://www.ebi.ac.uk/efo/EFO_0009449	0.995926062	Herpes simplex virus keratitis	http://www.ebi.ac.uk/efo/EFO_0007308	0.758074285	Dendritic keratitis	http://www.ebi.ac.uk/efo/EFO_1001883	0.758074285	Samuel Neaves	Rebecca Carnegie							
Keyed up or on edge during worst period of anxiety	anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0006788	0.441934391	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	0.441934391	dental phobia	http://www.ebi.ac.uk/efo/EFO_1001884	0.395355518	Benjamin Woolf	Giulio Centorame							
Lamb intake	Carney complex	http://www.orpha.net/ORDO/Orphanet_1359	0.76738618	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473227419	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.417731736	everyone	NA							
Lean body mass	lean body mass	http://www.ebi.ac.uk/efo/EFO_0004995	0.994288655	fat body mass	http://www.ebi.ac.uk/efo/EFO_0005409	0.669768018	lean mass-adjusted fat body mass	http://www.ebi.ac.uk/efo/EFO_0009890	0.66412233	Benjamin Woolf	Giulio Centorame							
Left bundle-branch block	Left bundle branch block	http://purl.obolibrary.org/obo/HP_0011713	0.990170708	bundle branch block	http://www.ebi.ac.uk/efo/EFO_0004138	0.884301447	Right bundle branch block	http://purl.obolibrary.org/obo/HP_0011712	0.762443786	Samuel Neaves	Rebecca Carnegie							
Leiomodin-1	leiomyoma	http://purl.obolibrary.org/obo/MONDO_0001572	0.539416526	leiomyoma cutis	http://purl.obolibrary.org/obo/MONDO_0003291	0.489899727	leiomyomatosis	http://purl.obolibrary.org/obo/MONDO_0003295	0.468772237	Benjamin Woolf	Giulio Centorame							
Leisure/social activities: Sports club or gym	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.347255237	clubfoot	http://purl.obolibrary.org/obo/MONDO_0007342	0.320452843	Talipes equinovarus	http://purl.obolibrary.org/obo/HP_0001762	0.320452843	Ryan Langdon	Maria Sobczyk-Barad							
Leukocyte immunoglobulin-like receptor subfamily B member 4	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008208	0.886898564	leukocyte immunoglobulin-like receptor subfamily B member 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008209	0.886442576	X-linked central congenital hypothyroidism with late-onset testicular enlargement	http://www.orpha.net/ORDO/Orphanet_329235	0.560683382	Ryan Langdon	Maria Sobczyk-Barad							
LIM and cysteine-rich domains protein 1	lipoprotein	http://www.ebi.ac.uk/efo/EFO_0003836	0.423742514	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.419835735	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.379251543	Benjamin Woolf	Giulio Centorame							
Low calorie drink intake	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.607957825	response to low calorie diet	http://www.ebi.ac.uk/efo/EFO_0010731	0.519786236	Congenital reticular ichthyosiform erythroderma	http://www.orpha.net/ORDO/Orphanet_281190	0.294503339	Zak Thornton	Marina Vabistsevits							
Lymphangioleiomyomatosis (sporadic)	Lymphangioleiomyomatosis	http://www.orpha.net/ORDO/Orphanet_538	0.989917599	Lung Lymphangioleiomyomatosis	http://www.ebi.ac.uk/efo/EFO_1000334	0.906848212	lymphangiomyoma	http://www.ebi.ac.uk/efo/EFO_1001027	0.893123461	Benjamin Woolf	Giulio Centorame							
Lymphocyte Absolute Count	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	0.796703775	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007993	0.598473825	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.546554876	Zak Thornton	Marina Vabistsevits							
Lysophospholipase-like protein 1	lipoprotein-associated phospholipase A(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	0.437060846	lysophosphatidylcholine measurement	http://www.ebi.ac.uk/efo/EFO_0010224	0.428557918	lipoprotein-associated phospholipase A(2) change measurement	http://www.ebi.ac.uk/efo/EFO_0008432	0.415442023	Ryan Langdon	Maria Sobczyk-Barad							
M-phase inducer phosphatase 2	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.547967327	Acid phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_35121	0.528031898	Hemolytic anemia due to diphosphoglycerate mutase deficiency	http://www.orpha.net/ORDO/Orphanet_714	0.485676462	Samuel Neaves	Rebecca Carnegie							
Macular hole	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.988425127	age-related macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365	0.56303146	Macular dystrophy	http://purl.obolibrary.org/obo/HP_0007754	0.56303146	Zak Thornton	Marina Vabistsevits							
Macular pucker	Epiretinal membrane	http://purl.obolibrary.org/obo/HP_0100014	0.990972118	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.453645875	Ptosis - vocal cord paralysis	http://www.orpha.net/ORDO/Orphanet_2997	0.425816781	everyone	NA							
Main speciality of consultant (recoded): Gynaecology	Gynecomastia	http://purl.obolibrary.org/obo/HP_0000771	0.48709762	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.457751058	female reproductive organ cancer	http://purl.obolibrary.org/obo/MONDO_0001416	0.388711678	Samuel Neaves	Rebecca Carnegie							
Main speciality of consultant (recoded): Respiratory medicine	Abnormality of the respiratory system	http://purl.obolibrary.org/obo/HP_0002086	0.505164251	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.477783298	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.465528165	Zak Thornton	Marina Vabistsevits							
Marginal zone B- and B1-cell-specific protein	marginal zone B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1000630	0.645847732	primary cutaneous marginal zone B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0015813	0.606045625	Splenic Marginal Zone Lymphoma	http://www.ebi.ac.uk/efo/EFO_1000550	0.530176118	Ryan Langdon	Maria Sobczyk-Barad							
Maternal care for known or suspected disproportion	Prominent nose	http://purl.obolibrary.org/obo/HP_0000448	0.360709491	Congenital fiber-type disproportion myopathy	http://www.orpha.net/ORDO/Orphanet_2020	0.349231344	Relative macrocephaly	http://purl.obolibrary.org/obo/HP_0004482	0.34880721	Ryan Langdon	Maria Sobczyk-Barad							
Maternal smoking around birth	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	0.508209268	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.508209268	birth rate	http://www.ebi.ac.uk/efo/EFO_0004804	0.427216413	Benjamin Woolf	Giulio Centorame							
Mean arterial pressure	mean arterial pressure	http://www.ebi.ac.uk/efo/EFO_0006340	0.987882991	carotid artery mean blood pressure measurement	http://www.ebi.ac.uk/efo/EFO_0007723	0.652661329	breast pressure measurement	http://www.ebi.ac.uk/efo/EFO_0009393	0.49830938	Ryan Langdon	Maria Sobczyk-Barad							
Mean corpuscular haemoglobin concentration	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	0.991040333	mean corpuscular hemoglobin	http://www.ebi.ac.uk/efo/EFO_0004527	0.87981285	Reticulocyte Corpuscular Hemoglobin Concentration Mean	http://www.ebi.ac.uk/efo/EFO_0009228	0.814377744	Ryan Langdon	Maria Sobczyk-Barad							
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication	esterified cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0008589	0.470780753	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	0.426639068	cholesterol catabolic process disease	http://purl.obolibrary.org/obo/MONDO_0045016	0.407983803	Zak Thornton	Marina Vabistsevits							
Medication for pain relief, constipation, heartburn	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.555147526	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.555147526	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.45167211	Samuel Neaves	Rebecca Carnegie							
Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.462699286	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.462699286	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.376455541	Ryan Langdon	Maria Sobczyk-Barad							
Melanocytic naevi of other and unspecified parts of face	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	0.690619453	large congenital melanocytic nevus	http://purl.obolibrary.org/obo/MONDO_0044792	0.477090211	macrocytic anemia (disease)	http://purl.obolibrary.org/obo/MONDO_0002281	0.472199762	Benjamin Woolf	Giulio Centorame							
Mental and behavioural disorders due to alcohol, excluding acute intoxication	mental or behavioural disorder	http://www.ebi.ac.uk/efo/EFO_0000677	0.570080166	Behavioral abnormality	http://purl.obolibrary.org/obo/HP_0000708	0.474624136	mental or behavioural disorder biomarker	http://www.ebi.ac.uk/efo/EFO_0006848	0.468170849	Samuel Neaves	Rebecca Carnegie							
Methionine-R-sulfoxide reductase B3	methionine measurement	http://www.ebi.ac.uk/efo/EFO_0009771	0.387256687	Xanthinuria type I	http://www.orpha.net/ORDO/Orphanet_93601	0.373779683	disorder of methionine catabolism	http://purl.obolibrary.org/obo/MONDO_0000351	0.334853885	Samuel Neaves	Rebecca Carnegie							
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: From inpatient/daycase care	eye discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.5672819	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0009365	0.400613535	discharging ear	http://purl.obolibrary.org/obo/MONDO_0000988	0.343427961	Ryan Langdon	Maria Sobczyk-Barad							
Mild mental retardation	Intellectual disability, mild	http://purl.obolibrary.org/obo/HP_0001256	0.993987935	mental retardation	http://www.ebi.ac.uk/efo/EFO_0003847	0.854325833	Intellectual disability	http://purl.obolibrary.org/obo/HP_0001249	0.854325833	Zak Thornton	Marina Vabistsevits							
MK11	Menkes disease	http://www.orpha.net/ORDO/Orphanet_565	0.334862421	TMK1	http://www.ebi.ac.uk/efo/EFO_0002867	0.289015522	Mevalonic aciduria	http://www.orpha.net/ORDO/Orphanet_29	0.274104483	Ryan Langdon	Maria Sobczyk-Barad							
Mono:%11c-16-274+	infectious mononucleosis	http://www.ebi.ac.uk/efo/EFO_0007326	0.507359243	Mono Mac 6	http://www.ebi.ac.uk/efo/EFO_0006287	0.349600128	Partial deletion of chromosome 16	http://www.orpha.net/ORDO/Orphanet_261826	0.29414784	Samuel Neaves	Rebecca Carnegie							
Most recent bowel cancer screening	intestinal cancer	http://www.ebi.ac.uk/efo/EFO_0007330	0.614191606	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_1001951	0.50777708	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.497523199	Samuel Neaves	Rebecca Carnegie							
Motor disorders (more controls excluded)	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.730008062	motor neuron disease	http://www.ebi.ac.uk/efo/EFO_0003782	0.725699158	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	0.587830859	Zak Thornton	Marina Vabistsevits							
Myeloperoxidase	Myeloperoxidase deficiency	http://www.orpha.net/ORDO/Orphanet_2587	0.848904138	myeloperoxidase measurement	http://www.ebi.ac.uk/efo/EFO_0005243	0.83204874	Myelopathy	http://purl.obolibrary.org/obo/HP_0002196	0.492900643	Samuel Neaves	Rebecca Carnegie							
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	MGAT2-CDG	http://www.orpha.net/ORDO/Orphanet_79329	0.68448676	Sanfilippo syndrome type C	http://www.orpha.net/ORDO/Orphanet_79271	0.53688513	Mucolipidosis type II	http://www.orpha.net/ORDO/Orphanet_576	0.519821136	Zak Thornton	Marina Vabistsevits							
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	inborn mitochondrial metabolism disorder	http://purl.obolibrary.org/obo/MONDO_0004069	0.483577291	Mitochondrial disease	http://www.orpha.net/ORDO/Orphanet_68380	0.483577291	Mitochondrial disorder due to a defect in mitochondrial protein synthesis	http://www.orpha.net/ORDO/Orphanet_35696	0.471392026	Zak Thornton	Marina Vabistsevits							
Naive CD8+ T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.412290109	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.39414708	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.377780367	Benjamin Woolf	Giulio Centorame							
Nectin-like protein 1	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008289	0.498240138	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.47463143	YKL40 measurement	http://www.ebi.ac.uk/efo/EFO_0004869	0.470833167	Zak Thornton	Marina Vabistsevits							
Neurensin-1	neuroma	http://www.ebi.ac.uk/efo/EFO_0009619	0.422021358	Neurenteric cyst	http://www.orpha.net/ORDO/Orphanet_268865	0.419227955	neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0004257	0.367158757	Ryan Langdon	Maria Sobczyk-Barad							
Never eat eggs, dairy, wheat, sugar: Wheat products	wheat allergic reaction	http://www.ebi.ac.uk/efo/EFO_1001243	0.426758627	PEAT	http://www.ebi.ac.uk/efo/EFO_0008859	0.325256156	miliaria	http://www.ebi.ac.uk/efo/EFO_1000734	0.31663784	Samuel Neaves	Rebecca Carnegie							
Nitrogen dioxide air pollution; 2010	traffic air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0007908	0.402096862	particulate matter air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0008255	0.380228484	household air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0006924	0.357588501	Samuel Neaves	Rebecca Carnegie							
Non-cancer illness code  self-reported: asthma	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.552470977	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.472676386	asthma	http://www.ebi.ac.uk/efo/EFO_0000270	0.45833128	Samuel Neaves	Rebecca Carnegie							
Non-cancer illness code  self-reported: bone disorder	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.546236383	bone cancer	http://purl.obolibrary.org/obo/MONDO_0002129	0.498787579	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.451752262	Samuel Neaves	Rebecca Carnegie							
Non-cancer illness code, self-reported: back problem	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.518116807	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.443284064	number of cancers, self-reported	http://www.ebi.ac.uk/efo/EFO_0009800	0.399191969	Samuel Neaves	Rebecca Carnegie							
Non-cancer illness code, self-reported: other renal/kidney problem	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	0.549222856	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	0.549222856	kidney neoplasm	http://www.ebi.ac.uk/efo/EFO_0003865	0.549222856	Zak Thornton	Marina Vabistsevits							
Non-cancer illness code, self-reported: pulmonary embolism +/- dvt	pulmonary embolism	http://www.ebi.ac.uk/efo/EFO_0003827	0.634983686	vascular cancer	http://purl.obolibrary.org/obo/MONDO_0002095	0.487356653	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.429074502	Samuel Neaves	Rebecca Carnegie							
Noninflammatory female genital disorders	inflammatory disease	http://www.ebi.ac.uk/efo/EFO_0009903	0.674054979	inflammatory skin disease	http://www.ebi.ac.uk/efo/EFO_1000636	0.641702455	myositis	http://www.ebi.ac.uk/efo/EFO_0000783	0.59508404	Benjamin Woolf	Giulio Centorame							
Nonsuppurative otitis media	non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0001212	0.988164181	suppurative otitis media	http://www.ebi.ac.uk/efo/EFO_0007503	0.891758501	chronic non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0021206	0.794210089	Zak Thornton	Marina Vabistsevits							
Nuclear envelope phosphatase-regulatory subunit 1	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.370550865	nuclear cataract	http://purl.obolibrary.org/obo/MONDO_0045050	0.363436286	Nuclear cataract	http://www.orpha.net/ORDO/Orphanet_98991	0.363436286	Zak Thornton	Marina Vabistsevits							
Nuclear receptor ROR-beta	nuclear cataract	http://purl.obolibrary.org/obo/MONDO_0045050	0.455893989	Nuclear cataract	http://www.orpha.net/ORDO/Orphanet_98991	0.455893989	Nuclear oculomotor paralysis	http://www.orpha.net/ORDO/Orphanet_100932	0.419763646	Zak Thornton	Marina Vabistsevits							
Number of children fathered	number of children fathered measurement	http://www.ebi.ac.uk/efo/EFO_0009814	0.883061342	number of children ever born measurement	http://www.ebi.ac.uk/efo/EFO_0009102	0.643119897	Postnatal growth retardation	http://purl.obolibrary.org/obo/HP_0008897	0.444819681	Zak Thornton	Marina Vabistsevits							
Number of days/week of vigorous physical activity 10+ minutes	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.510604448	physical activity measurement	http://www.ebi.ac.uk/efo/EFO_0008002	0.423831518	congenital abnormality	http://purl.obolibrary.org/obo/MONDO_0000839	0.330987304	Benjamin Woolf	Giulio Centorame							
OCT measured (left): Not performed - equipment failure	Renal insufficiency	http://purl.obolibrary.org/obo/HP_0000083	0.38728521	kidney failure	http://www.ebi.ac.uk/efo/EFO_1002048	0.38728521	measurement	http://www.ebi.ac.uk/efo/EFO_0001444	0.375776648	Benjamin Woolf	Giulio Centorame							
Ocular pain	Ocular pain	http://purl.obolibrary.org/obo/HP_0200026	0.987684655	eye neoplasm	http://www.ebi.ac.uk/efo/EFO_0003824	0.667066462	ocular cancer	http://purl.obolibrary.org/obo/MONDO_0002236	0.631944689	Ryan Langdon	Maria Sobczyk-Barad							
Oligomenorrhoea	Oligomenorrhea	http://purl.obolibrary.org/obo/HP_0000876	0.769924729	seborrheic dermatitis	http://www.ebi.ac.uk/efo/EFO_1000764	0.541330852	Diarrhea	http://purl.obolibrary.org/obo/HP_0002014	0.533953891	Zak Thornton	Marina Vabistsevits							
Open wound of abdomen, lower back and pelvis	Low back pain	http://purl.obolibrary.org/obo/HP_0003419	0.434673097	PELVIS syndrome	http://www.orpha.net/ORDO/Orphanet_83628	0.431121707	abdominal and pelvic region disorder	http://purl.obolibrary.org/obo/MONDO_0044965	0.395008063	Ryan Langdon	Maria Sobczyk-Barad							
Operation code: cone biopsy	biopsy	http://www.ebi.ac.uk/efo/EFO_0009120	0.675906417	biopsy site	http://www.ebi.ac.uk/efo/EFO_0000288	0.566974921	biopsy number	http://www.ebi.ac.uk/efo/EFO_0000287	0.480950905	Zak Thornton	Marina Vabistsevits							
Operation code: coronary angiogram	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	0.483731429	percutaneous transluminal coronary angioplasty	http://www.ebi.ac.uk/efo/EFO_0003951	0.425533172	Coronary Vasospasm	http://www.ebi.ac.uk/efo/EFO_0004225	0.406590689	Zak Thornton	Marina Vabistsevits							
Operation code: ear surgery	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.498103431	surgery on leg artery	http://www.ebi.ac.uk/efo/EFO_0009729	0.467615192	response to surgery	http://www.ebi.ac.uk/efo/EFO_0009951	0.432395241	Zak Thornton	Marina Vabistsevits							
Operation code: hand/finger surgery	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.470567346	stenosing tenosynovitis	http://www.ebi.ac.uk/efo/EFO_0010822	0.430445267	Digital flexor tenosynovitis	http://purl.obolibrary.org/obo/HP_0012276	0.430445267	Zak Thornton	Marina Vabistsevits							
Operation code: incisional hernia repair	Incisional hernia	http://purl.obolibrary.org/obo/HP_0004872	0.728335831	Hernia	http://purl.obolibrary.org/obo/HP_0100790	0.428779042	Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	0.335549968	Zak Thornton	Marina Vabistsevits							
Operation code: sterilisation	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.459217779	operator variation	http://www.ebi.ac.uk/efo/EFO_0000633	0.420053341	infertility	http://www.ebi.ac.uk/efo/EFO_0000545	0.418533916	Samuel Neaves	Rebecca Carnegie							
Operation code: stomach surgery	stomach disease	http://www.ebi.ac.uk/efo/EFO_0009608	0.498442157	gastric neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0003111	0.496167417	stomach neoplasm	http://www.ebi.ac.uk/efo/EFO_0003897	0.494343659	Ryan Langdon	Maria Sobczyk-Barad							
Operation code: tonsillectomy +/- adenoids	tonsillectomy	http://www.ebi.ac.uk/efo/EFO_0010174	0.685625512	tonsillectomy risk measurement	http://www.ebi.ac.uk/efo/EFO_0007924	0.469906302	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.38371021	everyone	NA							
Operative procedures - main OPCS: E03.6 Septoplasty of nose NEC	cornea transplantation	http://www.ebi.ac.uk/efo/EFO_0010676	0.355750096	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.339722146	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.301319417	Benjamin Woolf	Giulio Centorame							
Operative procedures - main OPCS: E08.1 Polypectomy of internal nose	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.331954443	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.32859052	response to surgery	http://www.ebi.ac.uk/efo/EFO_0009951	0.311944533	Zak Thornton	Marina Vabistsevits							
Operative procedures - main OPCS: T20.9 Unspecified primary repair of inguinal hernia	Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	0.458147676	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	0.329149644	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	0.312056846	Zak Thornton	Marina Vabistsevits							
Operative procedures - main OPCS: T72.3 Release of constriction of sheath of tendon	tendon sheath disorder	http://purl.obolibrary.org/obo/MONDO_0024876	0.517823329	Tendon Sheath Fibroma	http://www.ebi.ac.uk/efo/EFO_1000561	0.440130411	tenosynovitis	http://www.ebi.ac.uk/efo/EFO_1001435	0.438992927	Zak Thornton	Marina Vabistsevits							
Operative procedures - main OPCS: W15.1 Osteotomy of neck of first metatarsal bone	Short metatarsal	http://purl.obolibrary.org/obo/HP_0010743	0.384987023	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.304421226	Metatarsalgia	http://www.ebi.ac.uk/efo/EFO_1001370	0.300354798	Samuel Neaves	Rebecca Carnegie							
Operative procedures - secondary OPCS: Z92.6 Abdomen NEC	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.351336453	secondary neoplasm	http://purl.obolibrary.org/obo/MONDO_0024882	0.341248948	Secondary microcephaly	http://purl.obolibrary.org/obo/HP_0005484	0.332947405	Zak Thornton	Marina Vabistsevits							
Ornithine decarboxylase	Hereditary orotic aciduria	http://www.orpha.net/ORDO/Orphanet_30	0.58667081	Pyridoxine-dependent epilepsy	http://www.orpha.net/ORDO/Orphanet_3006	0.576444141	pyruvate decarboxylase deficiency	http://www.ebi.ac.uk/efo/EFO_0007459	0.557623575	Benjamin Woolf	Giulio Centorame							
Other and unspecified paralytic syndromes	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0002254	0.552966498	spondyloarthropathy	http://www.ebi.ac.uk/efo/EFO_0000706	0.487997682	cataract	http://www.ebi.ac.uk/efo/EFO_0001059	0.45572345	Samuel Neaves	Rebecca Carnegie							
Other and unspecified visual disturbances	Gait disturbance	http://purl.obolibrary.org/obo/HP_0001288	0.531121942	Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	0.51013664	spondyloarthropathy	http://www.ebi.ac.uk/efo/EFO_0000706	0.50214146	Samuel Neaves	Rebecca Carnegie							
Other assisted single delivery	Abnormal delivery	http://purl.obolibrary.org/obo/HP_0001787	0.422290087	delivery method	http://www.ebi.ac.uk/efo/EFO_0000395	0.410004647	delivery measurement	http://www.ebi.ac.uk/efo/EFO_0006922	0.408979891	Benjamin Woolf	Giulio Centorame							
Other diseases of pericardium	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	0.976343839	pericardium disease	http://purl.obolibrary.org/obo/MONDO_0000474	0.874028496	pericardium cancer	http://purl.obolibrary.org/obo/MONDO_0001322	0.68757871	Ryan Langdon	Maria Sobczyk-Barad							
