PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
,Qualifications: A levels/AS levels or equivalent,hemoglobin A1 measurement,Medium,EFO_0007629,
,"Heart failure, not strict",diastolic heart failure,Medium,EFO_1000899,
,"Heart failure, not strict",heart failure,Medium,EFO_0003144,
treatment,umbilical hernia repair,Umbilical hernia,Medium,HP_0001537,
treatment,umbilical hernia repair,Hernia,Medium,HP_0100790,
,Duration of walks,duration,Medium,EFO_0000433,
,Duration of walks,sleep duration,Medium,EFO_0005271,
,Other/unspecified rheumatoid arthritis,rheumatoid arthritis,Medium,EFO_0000685,
,Other/unspecified rheumatoid arthritis,ACPA-negative rheumatoid arthritis,Medium,EFO_0009460,
disease,Radiology of two body areas,carotid body paraganglioma,Medium,MONDO_0021053,
disease,Radiology of two body areas,glomus jugulare neoplasm,Medium,MONDO_0021257,
,Alcohol drinker status: Previous,status epilepticus,Medium,EFO_0008526,
,Alcohol drinker status: Previous,alcohol drinking,Medium,EFO_0004329,
,Ingredients in homemade soup: Vegetables,Tinnitus,Medium,HP_0000360,
,Ingredients in homemade soup: Vegetables,Hematuria,Medium,HP_0000790,
disease,"Peripheral vascular disease, unspecified",peripheral vascular disease,Medium,EFO_0003875,
disease,"Peripheral vascular disease, unspecified",unspecified peripheral T-cell lymphoma,Medium,EFO_0000211,
treatment,muscle/soft tissue surgery,Soft Tissue Neoplasm,Good,EFO_1000541,
,Taking other prescription medications,risk-taking behaviour,Medium,EFO_0008579,
,Taking other prescription medications,"number of treatments or medications taken, self-reported",Medium,EFO_0009803,
,Reason for reducing amount of alcohol drunk: Other reason,alcohol withdrawal delirium,Good,EFO_1000800,
,"Major dietary changes in the last 5 years: Yes, because of other reasons",Febrile seizure (within the age range of 3 months to 6 years),Medium,HP_0002373,
,"Major dietary changes in the last 5 years: Yes, because of other reasons",neoplasm of major salivary gland,Medium,MONDO_0021368,
,Number of bread slices with butter/margarine,Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells,Medium,Orphanet_331232,
,Number of bread slices with butter/margarine,Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells,Medium,Orphanet_331240,
,Non-cancer illness code  self-reported: joint disorder,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: joint disorder,nosophobia,Medium,EFO_1001903,
treatment,diazepam,diazepam,Good,CHEBI_49575,
,Low back pain,Back pain,Medium,HP_0003418,
,Low back pain,Low posterior hairline,Medium,HP_0002162,
,Medication for cholesterol  blood pressure or diabetes: Insulin,insulin-resistant diabetes mellitus,Medium,EFO_0010164,
,Medication for cholesterol  blood pressure or diabetes: Insulin,blood pressure,Medium,EFO_0004325,
,Ever had period of mania / excitability,number of children ever born measurement,Medium,EFO_0009102,
,Ever had period of mania / excitability,period of infection,Medium,EFO_0000648,
,Types of spreads/sauces consumed: Gravy,INTACT,Medium,EFO_0010037,
,Types of spreads/sauces consumed: Gravy,schizophrenia,Medium,EFO_0000692,
,Job involves heavy manual or physical work,job satisfaction measurement,Medium,EFO_0009723,
,Job involves heavy manual or physical work,job-related exhaustion measurement,Medium,EFO_0007881,
,Wheeze or whistling in the chest in last year,wheezing,High,EFO_0009715,
disease,Observation for other suspected diseases and conditions,respiratory system disease,Medium,EFO_0000684,
disease,Observation for other suspected diseases and conditions,muscular disease,Medium,EFO_0002970,
,Exposure to tobacco smoke at home,environmental tobacco smoke exposure measurement,High,EFO_0008361,
disease,Gas and air analgesia in labour,N/A,Did not map,N/A,
,Use of sun/uv protection,Cannabis use,Good,EFO_0007585,
,Main speciality of consultant (recoded): Oral surgery,consultant,Good,EFO_0001732,
treatment,beclometasone,N/A,Did not map,N/A,
,Time to complete round,Male infertility due to globozoospermia,Medium,Orphanet_171709,
,Time to complete round,Severe combined immunodeficiency due to complete RAG1/2 deficiency,Medium,Orphanet_331206,
disease,Ankle joint,joint disease,Medium,EFO_1000999,
disease,Ankle joint,ankle injury,Medium,EFO_1002021,
,Low fat hard cheese intake,total fat intake measurement,Medium,EFO_0007678,
,Low fat hard cheese intake,low fat diet,Medium,EFO_0002758,
,Weight change during worst episode of depression: Both gained and lost some weight during the episode,N/A,Did not map,N/A,
,Bring up phlegm/sputum/mucus on most days,"bringing up phlegm, sputum or mucus on most days, self-reported",High,EFO_0009824,
disease,Papanicolau smear NEC,necrotizing enterocolitis,Good,EFO_0003928,
disease,Primary open reduction of fracture of ankle and extramedullary fixation NEC,N/A,Did not map,N/A,
,Ever seen an un-real vision,Blurred vision,Medium,HP_0000622,
,Ever seen an un-real vision,vision disorder,Medium,MONDO_0021084,
disease,"Malignant melanoma of lower limb, including hip",cutaneous melanoma,Good,EFO_0000389,
,Other sweets intake,energy intake,Medium,EFO_0003939,
,Other sweets intake,fish consumption measurement,Medium,EFO_0010139,
disease,Other specified approach to organ through other opening,pneumonia,Medium,EFO_0003106,
disease,Other specified approach to organ through other opening,anthrax infection,Medium,EFO_0000778,
,Thickness of butter/margarine spread on bread rolls: thin,Episcleritis,Medium,HP_0100534,
,Thickness of butter/margarine spread on bread rolls: thin,descending thin limb,Medium,UBERON_0005096,
,Transport type for commuting to job workplace: None of the above,Pseudohyperaldosteronism type 2,Medium,Orphanet_88660,
,Transport type for commuting to job workplace: None of the above,Inflammatory abnormality of the skin,Medium,HP_0011123,
disease,Injury of muscle and tendon at wrist and hand level,injury,High,EFO_0000546,
disease,Other interstitial pulmonary diseases with fibrosis,pulmonary fibrosis,Good,EFO_0009448,
,Cystatin C,cystatin C measurement,High,EFO_0004617,
disease,Ulcer of oesophagus,gastric ulcer,Good,EFO_0009454,
,Illnesses of mother: Diabetes,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Thoughts of death during worst depression,sudden infant death syndrome,Good,EFO_0005303,
,Non-cancer illness code  self-reported: vitiligo,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: vitiligo,Vitiligo,Medium,EFO_0004208,
disease,Coronary arteriography NEC,Coronary Restenosis,Medium,EFO_0004224,
disease,Coronary arteriography NEC,Coronary Vasospasm,Medium,EFO_0004225,
,Total errors traversing alphanumeric path (trail #2),Inborn errors of metabolism,Medium,Orphanet_68367,
,Total errors traversing alphanumeric path (trail #2),Pilodental dysplasia - refractive errors,Medium,Orphanet_2892,
,Current tobacco smoking,smoking behavior,High,EFO_0004318,
disease,Sleep disorders,Sleep Disorder,High,EFO_0008568,
disease,Cellulitis of other parts of limb,cellulitis,Medium,EFO_0003035,
disease,Cellulitis of other parts of limb,Ludwig's angina,Medium,EFO_1000730,
,Liquid used to make porridge: Porridge with water,response to water deprivation,Medium,GO_0009414,
,Liquid used to make porridge: Porridge with water,response to water stimulus,Medium,GO_0009415,
,"Non-cancer illness code, self-reported: eczema/dermatitis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: eczema/dermatitis",contact dermatitis,Medium,EFO_0005319,
,Usual walking pace,Toe walking,Medium,HP_0040083,
,Usual walking pace,Difficulty walking,Medium,HP_0002355,
treatment,oesphageal fundoplication/hiatus hernia surgery,Hiatus hernia,Medium,HP_0002036,
treatment,oesphageal fundoplication/hiatus hernia surgery,Hernia,Medium,HP_0100790,
disease,"Persons encountering health services for specifie procedures, not carried out",encounter with health service,High,EFO_0009786,
,Mineral and other dietary supplements: Zinc,N/A,Did not map,N/A,
treatment,pravastatin,CN236575,Medium,CN236575,
treatment,pravastatin,CN236605,Medium,CN236605,
treatment,omacor 1g capsule,Charcot-Marie-Tooth disease type 1G,Good,EFO_0010266,
,Cereal type: Biscuit cereal (e.g. Weetabix),specimen with known storage state,Medium,OBI_0001472,
,Cereal type: Biscuit cereal (e.g. Weetabix),material entity,Medium,BFO_0000040,
,Lipoprotein A,lipoprotein A measurement,Good,EFO_0006925,
,Fruit consumers,fruit,Medium,PO_0009001,
,Fruit consumers,Drosophila melanogaster,Medium,NCBITaxon_7227,
,Mouth/teeth dental problems: Mouth ulcers,xerostomia,Good,EFO_0009869,
,Signal-to-noise-ratio (SNR) of triplet (right),heart right ventricle,Medium,UBERON_0002080,
,Signal-to-noise-ratio (SNR) of triplet (right),right cardiac atrium,Medium,UBERON_0002078,
,Illnesses of mother: None of the above (group 1),"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Illnesses of mother: None of the above (group 1),Rh isoimmunization,Medium,EFO_1001159,
,Illnesses of siblings: None of the above (group 2),number of siblings,Medium,EFO_0009713,
,Illnesses of siblings: None of the above (group 2),"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Hair colour (natural, before greying): Black",hair colour measurement,Medium,EFO_0007822,
,"Hair colour (natural, before greying): Black",hairy tongue,Medium,EFO_1000957,
,PCT where patients GP was registered: WIRRAL PCT,platelet crit,Good,EFO_0007985,
,Malignant neoplasm of digestive organs,male reproductive organ cancer,Good,EFO_0007355,
,Mashed potato intake,energy intake,Good,EFO_0003939,
,Midwife episode,manic or hypomanic episode,Medium,EFO_0007706,
,Midwife episode,manic episode measurement,Medium,EFO_0007705,
,Glucose,glucose,High,CHEBI_17234,
,LDL direct,LDL cholesterol,Good,EFO_0004195,
,Other specified/unspecified soft tissue disorders,glaucoma,Medium,EFO_0000516,
,Other specified/unspecified soft tissue disorders,schizophrenia,Medium,EFO_0000692,
,Whole body water mass,whole body water mass,High,EFO_0009805,
,Reason for glasses/contact lenses: For short-sightedness  i.e. only or mainly for distance viewing such as driving  cinema etc (called 'myopia'),myopia (disease),Medium,MONDO_0001384,
,Reason for glasses/contact lenses: For short-sightedness  i.e. only or mainly for distance viewing such as driving  cinema etc (called 'myopia'),Small for gestational age,Medium,HP_0001518,
,Fractured bone site(s): Other bones,bone fracture,Good,EFO_0003931,
disease,Fibreoptic endoscopic cauterisation of lesion of colon,colon carcinoma,Medium,EFO_1001950,
disease,Fibreoptic endoscopic cauterisation of lesion of colon,colon adenocarcinoma,Medium,EFO_1001949,
,Venous thromboembolism,venous thromboembolism,High,EFO_0004286,
,Sources of admission to hospital (recoded): Usual Place of residence: Living with relatives,place of residence measurement,Medium,EFO_0009583,
,Sources of admission to hospital (recoded): Usual Place of residence: Living with relatives,Usual Ductal Breast Hyperplasia,Medium,EFO_1000612,
,Leisure/social activities: Sports club or gym,physical activity,Good,EFO_0003940,
,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),Poor eye contact,Medium,HP_0000817,
,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),Phakomatosis with eye involvement,Medium,Orphanet_98701,
disease,Personal history of allergy to penicillin,drug allergy,Medium,EFO_0009482,
disease,Personal history of allergy to penicillin,egg allergy,Medium,EFO_0007248,
,Illnesses of mother: Breast cancer,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
disease,Introduction of intrauterine contraceptive device,device complication,Good,EFO_0009519,
,Traffic intensity on the nearest major road,neoplasm of major salivary gland,Medium,MONDO_0021368,
,Traffic intensity on the nearest major road,Purpura,Medium,HP_0000979,
disease,Other abnormal products of conception,pregnancy disorder,High,EFO_0009682,
,Day-of-week questionnaire completion requested: Friday,TEMPS-A questionnaire,Good,EFO_0004783,
,Other serious medical condition/disability diagnosed by doctor,disease,Good,EFO_0000408,
disease,Benign lipomatous neoplasm,lipoma,High,EFO_0000759,
,Average monthly champagne plus white wine intake,white wine liking measurement,Medium,EFO_0006948,
,Average monthly champagne plus white wine intake,energy intake,Medium,EFO_0003939,
,Sweetened cereal intake,energy intake,Medium,EFO_0003939,
,Sweetened cereal intake,fish consumption measurement,Medium,EFO_0010139,
,Former alcohol drinker,alcohol drinking,Medium,EFO_0004329,
,Former alcohol drinker,alcohol withdrawal,Medium,EFO_0004777,
,Length of longest manic/irritable episode,"manic episode measurement, irritability measurement",High,"EFO_0007705, EFO_0009594",
,Other pulmonary diagnosis,age at alcohol diagnosis,Medium,EFO_0005602,
,Other pulmonary diagnosis,respiratory system disease,Medium,EFO_0000684,
,Current employment status: Looking after home and/or family,employment status,Medium,EFO_0005241,
,Current employment status: Looking after home and/or family,electrical current,Medium,EFO_0000388,
disease,Extracorporeal shock wave lithotripsy of calculus of kidney,nephrolithiasis,Good,EFO_0004253,
,Malignant melanoma of skin,cutaneous melanoma,High,EFO_0000389,
,Ever had prolonged feelings of sadness or depression,number of children ever born measurement,Good,EFO_0009102,
,Number of baps with  butter/margarine,Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells,Medium,Orphanet_331232,
,Number of baps with  butter/margarine,Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells,Medium,Orphanet_331240,
disease,Enlarged lymph nodes,lymph node metastatic carcinoma,Medium,EFO_0004906,
disease,Enlarged lymph nodes,Langerhans Cell Histiocytosis,Medium,EFO_1000318,
,Type of tobacco currently smoked: Manufactured cigarettes,cigarettes per day measurement,Medium,EFO_0006525,
,Type of tobacco currently smoked: Manufactured cigarettes,maximum cigarettes per day measurement,Medium,EFO_0009264,
,PCT where patients GP was registered: BERKSHIRE WEST PCT,platelet crit,Good,EFO_0007985,
,PCT where patients GP was registered: WAKEFIELD WEST PCT,platelet crit,Good,EFO_0007985,
disease,"Surgical operation with anastomosis, bypass or graft",acute graft vs. host disease,Good,EFO_0004599,
,Non-cancer illness code  self-reported: psoriasis,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: psoriasis,psoriasis,Medium,EFO_0000676,
disease,Irritable bowel syndrome,irritable bowel syndrome,High,EFO_0000555,
disease,Essential (primary) hypertension,primary hypertension,Good,EFO_1002032,
,Total protein,blood protein measurement,Medium,EFO_0007937,
,Total protein,total blood protein measurement,Medium,EFO_0004536,
disease,Other orthopaedic follow-up care,orthopedic nursing,High,EFO_0009577,
,Duration of walks,duration,Medium,EFO_0000433,
,Duration of walks,sleep duration,Medium,EFO_0005271,
,PCT where patients GP was registered: EASTERN BIRMINGHAM PCT,platelet crit,Good,EFO_0007985,
,Vegetable pieces intake,energy intake,Medium,EFO_0003939,
,Vegetable pieces intake,fish consumption measurement,Medium,EFO_0010139,
,Illnesses of father: Severe depression,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
treatment,beclazone 50 inhaler,triacylglycerol 50:1 measurement,Medium,EFO_0010408,
treatment,beclazone 50 inhaler,triacylglycerol 50:2 measurement,Medium,EFO_0010409,
,PCT responsible for patient data: GATESHEAD PCT,platelet crit,Good,EFO_0007985,
,PCT responsible for patient data: NORTH STAFFORDSHIRE PCT,platelet crit,Good,EFO_0007985,
,Diseases of the skin and subcutaneous tissue,skin disease,Good,EFO_0000701,
treatment,amlodipine,N/A,Did not map,N/A,
,"Type of accommodation lived in: A flat, maisonette or apartment",eye accommodation disease,Medium,MONDO_0000926,
,"Type of accommodation lived in: A flat, maisonette or apartment",Vitamin B12-responsive methylmalonic acidemia type cblA,Medium,Orphanet_79310,
treatment,male circumcision,circumcision,Good,EFO_0003953,
,Diagnoses - main ICD9: V252 Sterilization,main bronchus,Medium,UBERON_0002182,
,Diagnoses - main ICD9: V252 Sterilization,main ciliary ganglion,Medium,UBERON_0002058,
,Job SOC coding: Financial institution managers,institution,Medium,EFO_0001738,
,Job SOC coding: Financial institution managers,financial situation satisfaction measurement,Medium,EFO_0009726,
treatment,knee surgery (not replacement),hormone replacement therapy,Good,EFO_0003961,
disease,Pain in joint,disorder involving pain,Medium,MONDO_0021668,
disease,Pain in joint,Hereditary sensory and autonomic neuropathy type 4,Medium,Orphanet_642,
disease,Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope,sigmoid neoplasm,Medium,EFO_1001181,
disease,Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope,ocular tuberculosis,Medium,EFO_1001070,
,Diabetes diagnosed by doctor,diabetes mellitus,High,EFO_0000400,
,6mm asymmetry angle (left),Lower limb asymmetry,Medium,HP_0100559,
,6mm asymmetry angle (left),angle unit,Medium,UO_0000121,
,"Cereal type: Other (e.g. Cornflakes, Frosties)",Recessive dystrophic epidermolysis bullosa-generalized other,Medium,Orphanet_89842,
,"Cereal type: Other (e.g. Cornflakes, Frosties)",Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,Medium,Orphanet_300570,
,Hip pain for 3+ months,Hip pain,High,HP_0030838,
,Hearing difficulty/problems: Yes,hearing loss,High,EFO_0004238,
disease,"Transient cerebral ischaemic attack, unspecified",transient ischemic attack,Medium,EFO_0003764,
disease,"Transient cerebral ischaemic attack, unspecified",stroke,Medium,EFO_0000712,
treatment,nicorandil,N/A,Did not map,N/A,
,Illnesses of adopted siblings: None of the above (group 2),number of siblings,Medium,EFO_0009713,
,Illnesses of adopted siblings: None of the above (group 2),"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Sweet potato intake,Bemisia tabaci,Medium,NCBITaxon_7038,
,Sweet potato intake,Ipomoea batatas,Medium,NCBITaxon_4120,
disease,Duodenal ulcer,duodenal ulcer,High,EFO_0004607,
treatment,zinc product,CHGA cleavage product measurement,Good,EFO_0007909,
,"Heel Broadband ultrasound attenuation (BUA), manual entry",bone quantitative ultrasound measurement,Medium,EFO_0004514,
,"Heel Broadband ultrasound attenuation (BUA), manual entry",Plantar Fasciitis,Medium,EFO_1001909,
,Green tea intake,energy intake,Good,EFO_0003939,
disease,Unspecified diagnostic endoscopic examination of larynx,ocular tuberculosis,Good,EFO_1001070,
,"Pregnancy, childbirth and the puerperium",hypertension,Medium,EFO_0000537,
,"Pregnancy, childbirth and the puerperium",pregnancy disorder,Medium,EFO_0009682,
,Yorkshire pudding intake,energy intake,Medium,EFO_0003939,
,Yorkshire pudding intake,fish consumption measurement,Medium,EFO_0010139,
disease,Excessive and frequent menstruation with regular cycle,N/A,Did not map,N/A,
,Mood swings,Mood swings,High,HP_0000720,
,Medication for pain relief  constipation  heartburn: Omeprazole (e.g. Zanprol),pain agnosia,Good,EFO_1001484,
,Mixed vegetable intake,energy intake,Good,EFO_0003939,
treatment,allopurinol,"uric acid measurement, gout, response to allopurinol",Medium,"EFO_0004761, EFO_0004274, EFO_0006337",
treatment,allopurinol,response to allopurinol,Medium,EFO_0006337,
treatment,allopurinol,"uric acid measurement, gout",Medium,"EFO_0004761, EFO_0004274",
treatment,allopurinol,"uric acid measurement, response to allopurinol",Medium,"EFO_0004761, EFO_0006337",
treatment,allopurinol,gout,Medium,EFO_0004274,
treatment,allopurinol,allopurinol,Medium,CHEBI_40279,
disease,Puncture of maxillary antrum,maxillary sinus neoplasm,Good,EFO_1001035,
,"Non-cancer illness code, self-reported: malabsorption/coeliac disease","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: malabsorption/coeliac disease",celiac disease,Medium,EFO_0001060,
,"Never eat eggs, dairy, wheat, sugar: Dairy products",wheat allergic reaction,Good,EFO_1001243,
treatment,vaginal prolapse/colposuspension,pelvic organ prolapse,Good,EFO_0004710,
treatment,beconase 50micrograms nasal spray,olfactory pit,Medium,UBERON_0005870,
treatment,beconase 50micrograms nasal spray,Nasal encephalocele,Medium,Orphanet_141118,
,Weight change compared with 1 year ago,lipoid nephrosis,Medium,EFO_1001020,
,Weight change compared with 1 year ago,AGO-CLIP,Medium,EFO_0008651,
,Type milk consumed: semiskimmed,milk allergic reaction,Good,EFO_0007369,
,"Job coding: manager in construction, clerk of works, site manager, contracts manager, highways manager",RNA-seq of coding RNA,Medium,EFO_0003738,
,"Job coding: manager in construction, clerk of works, site manager, contracts manager, highways manager",RNA-seq of non coding RNA,Medium,EFO_0003737,
,Attempted fluid intelligence (FI) test.,intelligence,Medium,EFO_0004337,
,Attempted fluid intelligence (FI) test.,attempted suicide,Medium,EFO_0004321,
,Clinical haematology,clinical history,Medium,EFO_0000352,
,Clinical haematology,clinical temporal measurement,Medium,EFO_0004949,
treatment,thyroxine sodium,sodium chloride regimen,Good,EO_0007048,
treatment,spinal laminectomy,Spinal Osteochondrosis,Good,EFO_0008576,
,"Invitation to physical activity study, acceptance",physical activity,Good,EFO_0003940,
disease,Other specified urethral catheterisation of bladder,glaucoma,Medium,EFO_0000516,
disease,Other specified urethral catheterisation of bladder,anthrax infection,Medium,EFO_0000778,
treatment,candesartan cilexetil,candesartan,Medium,CHEBI_3347,
treatment,candesartan cilexetil,response to candesartan,Medium,GO_1901556,
,Average monthly beer plus cider intake,energy intake,Medium,EFO_0003939,
,Average monthly beer plus cider intake,fish consumption measurement,Medium,EFO_0010139,
treatment,ranitidine,ranitidine,Good,CHEBI_8776,
disease,Primary resurfacing arthroplasty of joint,joint disease,Good,EFO_1000999,
,Food weight,body weight,Medium,EFO_0004338,
,Food weight,malnutrition,Medium,EFO_0008572,
,3mm asymmetry angle (left),Lower limb asymmetry,Medium,HP_0100559,
,3mm asymmetry angle (left),angle unit,Medium,UO_0000121,
,Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: Blood clot in the lung,Venous thrombosis,Medium,HP_0004936,
,Blood clot  DVT  bronchitis  emphysema  asthma  rhinitis  eczema  allergy diagnosed by doctor: Blood clot in the lung,Portal vein thrombosis,Medium,HP_0030242,
,"Job coding: financial controller, accounting/audit technician, trust officer",technician,Medium,EFO_0009739,
,"Job coding: financial controller, accounting/audit technician, trust officer",financial situation satisfaction measurement,Medium,EFO_0009726,
disease,Chemotherapy session for neoplasm,chemotherapy-induced hypertension,Medium,EFO_0005942,
disease,Chemotherapy session for neoplasm,neoplasm,Medium,EFO_0000616,
,Sweet pepper intake,energy intake,Good,EFO_0003939,
disease,Polyp of female genital tract,female genital tract polyp,High,EFO_0008622,
treatment,tamoxifen,tamoxifen,High,CHEBI_41774,
,Milk type used: Other type of milk,milk allergic reaction,Good,EFO_0007369,
treatment,minerals - magnesium,magnesium deficiency,Good,EFO_1001029,
,Illnesses of father: None of the above (group 1),"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
disease,Fibreoptic endoscopic snare resection of lesion of colon,colon carcinoma,Medium,EFO_1001950,
disease,Fibreoptic endoscopic snare resection of lesion of colon,colon adenocarcinoma,Medium,EFO_1001949,
,Non-cancer illness code  self-reported: type 2 diabetes,type II diabetes mellitus,Medium,EFO_0001360,
,Non-cancer illness code  self-reported: type 2 diabetes,type 2 diabetes nephropathy,Medium,EFO_0004997,
,6mm weak meridian angle (right),angle unit,Medium,UO_0000121,
,6mm weak meridian angle (right),degree,Medium,UO_0000185,
disease,Skin of finger,Skin Sarcoma,Good,EFO_1000531,
disease,Crohn's disease [regional enteritis],Crohn's disease,Medium,EFO_0000384,
disease,Crohn's disease [regional enteritis],perianal Crohn's disease,Medium,EFO_0005627,
disease,Intestinal bypass and anastomosis status,N/A,Did not map,N/A,
,Tinned tuna intake,energy intake,Good,EFO_0003939,
disease,Rectocele,rectocele,Good,EFO_1001837,
disease,Other septicaemia,Sepsis,High,HP_0100806,
treatment,pilonidal sinus surgery (anal),Pilonidal sinus,Medium,HP_0010769,
treatment,pilonidal sinus surgery (anal),Pilonidal abscess,Medium,HP_0010771,
,Vitamin and mineral supplements: Multivitamins +/- minerals,Disorder of mineral absorption and transport,Medium,Orphanet_309836,
,Vitamin and mineral supplements: Multivitamins +/- minerals,Reduced bone mineral density,Medium,HP_0004349,
,PCT where patients GP was registered: ROTHERHAM PCT,platelet crit,Good,EFO_0007985,
treatment,fluticasone,"respiratory symptom measurement, response to corticosteroid, response to salmeterol, chronic obstructive pulmonary disease",Medium,"EFO_0007939, GO_0031960, EFO_0010062, EFO_0000341",
treatment,fluticasone,"response to corticosteroid, response to salmeterol, chronic obstructive pulmonary disease, respiratory symptom change measurement",Medium,"GO_0031960, EFO_0010062, EFO_0000341, EFO_0010068",
treatment,fluticasone,CN236556,Medium,CN236556,
treatment,fluticasone,CN236557,Medium,CN236557,
,Types of spreads/sauces consumed: Jam/honey,INTACT,Medium,EFO_0010037,
,Types of spreads/sauces consumed: Jam/honey,schizophrenia,Medium,EFO_0000692,
disease,Fractures of other parts of lower leg (closed),cancer of long bone of lower limb,Medium,MONDO_0000952,
disease,Fractures of other parts of lower leg (closed),Congenital absence of thigh and lower leg with foot present,Medium,Orphanet_294977,
,Direct bilirubin,bilirubin measurement,Good,EFO_0004570,
,Mineral and other dietary supplements: None of the above,N/A,Did not map,N/A,
,Types of spreads/sauces consumed: Low fat mayonnaise,low fat diet,Medium,EFO_0002758,
,Types of spreads/sauces consumed: Low fat mayonnaise,INTACT,Medium,EFO_0010037,
disease,Diagnostic endoscopic examination of uterus and biopsy of lesion of uterus,N/A,Did not map,N/A,
,Peach/nectarine intake,energy intake,Medium,EFO_0003939,
,Peach/nectarine intake,fish consumption measurement,Medium,EFO_0010139,
,6mm strong meridian angle (left),angle unit,Medium,UO_0000121,
,6mm strong meridian angle (left),degree,Medium,UO_0000185,
treatment,other urological surgery,prophylactic surgery,Good,EFO_0009580,
treatment,testicular hydrocoele surgery / drainage,eye discharge,Medium,EFO_0010678,
treatment,testicular hydrocoele surgery / drainage,prophylactic surgery,Medium,EFO_0009580,
treatment,doxazosin,N/A,Did not map,N/A,
,IGF-1,IGF-1 measurement,Good,EFO_0004627,
,"Non-cancer illness code, self-reported: bronchiectasis","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Ever heard an un-real voice,voice disorders,Good,EFO_0009692,
,Year ended full time education,time,Good,EFO_0000721,
,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative",brain injury,Medium,MONDO_0043510,
,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative",spinal injury,Medium,MONDO_0037747,
disease,Special screening examination for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,N/A,Did not map,N/A,
,PCT responsible for patient data: BRADFORD AND AIREDALE TEACHING PCT,N/A,Did not map,N/A,
,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",Feeding difficulties in infancy,Medium,HP_0008872,
,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",Feeding difficulties,Medium,HP_0011968,
,PCT where patients GP was registered: EAST LEEDS PCT,platelet crit,Good,EFO_0007985,
,Falls in the last year,fall,High,EFO_0009631,
,Flavoured milk intake,energy intake,Medium,EFO_0003939,
,Flavoured milk intake,milk allergic reaction,Medium,EFO_0007369,
,Reason for not eating or drinking normally: Away,eating disorder,Medium,EFO_0005203,
,Reason for not eating or drinking normally: Away,binge eating,Medium,EFO_0005924,
,Workplace full of chemical or other fumes: Sometimes,response to gases and fumes exposure,Good,EFO_0006994,
disease,Other specified diagnostic endoscopic examination of uterus,glaucoma,Medium,EFO_0000516,
disease,Other specified diagnostic endoscopic examination of uterus,anthrax infection,Medium,EFO_0000778,
,Work/job satisfaction,job satisfaction measurement,High,EFO_0009723,
,Maternal smoking around birth,smoking behavior,Medium,EFO_0004318,
,Maternal smoking around birth,smoking initiation,Medium,EFO_0005670,
,Job SOC coding: General office assistants/clerks,job satisfaction measurement,Medium,EFO_0009723,
,Job SOC coding: General office assistants/clerks,job-related exhaustion measurement,Medium,EFO_0007881,
treatment,ovarian cyst removal/surgery,simple cystadenoma,Good,EFO_0002511,
disease,Carcinoma in situ of breast,breast carcinoma,High,EFO_0000305,
,Errors before selecting correct item in numeric path (trail #1),Inborn errors of metabolism,Medium,Orphanet_68367,
,Errors before selecting correct item in numeric path (trail #1),Pilodental dysplasia - refractive errors,Medium,Orphanet_2892,
,Pork intake,energy intake,Medium,EFO_0003939,
,Pork intake,cysticercosis,Medium,EFO_0007231,
,Number of children fathered,number of children fathered measurement,High,EFO_0009814,
,Primary_lymphoid and hematopoietic malignant neoplasms,N/A,Did not map,N/A,
